year,population,gdp,electricity_generation,primary_energy_consumption,renewables_electricity,renewables_percentage
2013,96730.0,2096275968.0,1.5664178953081924e-05,2.1492856914988424e-05,1.5045671134729472e-06,2.4390243902439024
2014,98016.0,2231000064.0,1.6046232098279044e-05,2.5420925892821425e-05,1.5045671134729472e-06,2.3809523809523814
2015,99260.0,2363480064.0,1.6810338388673287e-05,2.641223667587076e-05,1.5045671134729472e-06,2.272727272727273
2016,100521.0,2476032000.0,1.7956497824264646e-05,2.9596822566416754e-05,1.5045671134729472e-06,2.1276595744680855
2017,101828.0,2589720576.0,1.8338550969461765e-05,3.0941287815927416e-05,1.5045671134729472e-06,2.0833333333333335
2018,103120.0,2794612992.0,1.8720604114658885e-05,2.7254850841462695e-05,1.5045671134729472e-06,2.0408163265306123
2000,4584074.0,3156876032.0,3.0564251615769613e-06,9.931694907675538e-06,1.5045671134729472e-06,12.5
2001,4857106.0,3731874048.0,4.966690887562562e-06,1.2893235872035432e-05,1.5045671134729472e-06,7.6923076923076925
2002,5140120.0,4723204096.0,5.730797177956802e-06,1.2986171257946308e-05,3.0091342269458944e-06,13.333333333333334
2003,5350917.0,5165014528.0,5.3487440327596824e-06,1.338269557116604e-05,3.0091342269458944e-06,14.285714285714285
2004,5533329.0,5509297664.0,4.584637742365441e-06,1.335171710919575e-05,3.0091342269458944e-06,16.666666666666668
